Epoch [0/100] Step [0]  lossD: 0.7152  lossG: 26.7395  L1: 0.5086  Adv: 1.3115
Epoch [0/100] Step [20]  lossD: 0.6898  lossG: 14.8470  L1: 0.2822  Adv: 0.7377
Epoch [0/100] Step [40]  lossD: 0.4952  lossG: 14.0797  L1: 0.2586  Adv: 1.1493
Epoch [0/100] Step [60]  lossD: 0.1446  lossG: 14.9225  L1: 0.2530  Adv: 2.2737
Epoch [0/100] Step [80]  lossD: 0.1154  lossG: 14.1784  L1: 0.2230  Adv: 3.0259
Epoch [0/100] Step [100]  lossD: 0.1374  lossG: 13.3465  L1: 0.2147  Adv: 2.6098
Epoch [0/100] Step [120]  lossD: 0.0617  lossG: 13.8930  L1: 0.2055  Adv: 3.6178
Epoch [0/100] Step [140]  lossD: 0.0431  lossG: 14.1492  L1: 0.2076  Adv: 3.7714
Epoch [0/100] Step [160]  lossD: 0.0279  lossG: 13.5425  L1: 0.1870  Adv: 4.1950
Epoch [0/100] Step [180]  lossD: 0.0125  lossG: 14.5336  L1: 0.1880  Adv: 5.1340
Epoch [1/100] Step [0]  lossD: 0.0180  lossG: 13.1739  L1: 0.1670  Adv: 4.8254
Epoch [1/100] Step [20]  lossD: 0.0127  lossG: 12.5251  L1: 0.1490  Adv: 5.0756
Epoch [1/100] Step [40]  lossD: 0.4514  lossG: 9.6704  L1: 0.1397  Adv: 2.6870
Epoch [1/100] Step [60]  lossD: 0.0238  lossG: 11.4770  L1: 0.1330  Adv: 4.8278
Epoch [1/100] Step [80]  lossD: 0.0216  lossG: 11.5779  L1: 0.1384  Adv: 4.6566
Epoch [1/100] Step [100]  lossD: 0.0175  lossG: 10.8538  L1: 0.1236  Adv: 4.6728
Epoch [1/100] Step [120]  lossD: 0.0928  lossG: 9.1295  L1: 0.1041  Adv: 3.9242
Epoch [1/100] Step [140]  lossD: 0.0357  lossG: 8.6516  L1: 0.1023  Adv: 3.5358
Epoch [1/100] Step [160]  lossD: 0.0161  lossG: 9.5545  L1: 0.0994  Adv: 4.5861
Epoch [1/100] Step [180]  lossD: 0.0188  lossG: 9.9091  L1: 0.0955  Adv: 5.1346
Epoch [2/100] Step [0]  lossD: 0.0254  lossG: 9.2962  L1: 0.0920  Adv: 4.6966
Epoch [2/100] Step [20]  lossD: 0.4609  lossG: 5.9639  L1: 0.0814  Adv: 1.8917
Epoch [2/100] Step [40]  lossD: 0.1803  lossG: 5.7954  L1: 0.0765  Adv: 1.9697
Epoch [2/100] Step [60]  lossD: 0.0985  lossG: 7.0646  L1: 0.0775  Adv: 3.1892
Epoch [2/100] Step [80]  lossD: 0.7371  lossG: 5.3426  L1: 0.0710  Adv: 1.7902
Epoch [2/100] Step [100]  lossD: 0.2294  lossG: 6.2973  L1: 0.0776  Adv: 2.4172
Epoch [2/100] Step [120]  lossD: 0.6759  lossG: 4.2749  L1: 0.0794  Adv: 0.3060
Epoch [2/100] Step [140]  lossD: 0.0836  lossG: 5.5834  L1: 0.0624  Adv: 2.4651
Epoch [2/100] Step [160]  lossD: 0.2617  lossG: 5.0226  L1: 0.0745  Adv: 1.2977
Epoch [2/100] Step [180]  lossD: 0.4893  lossG: 4.0757  L1: 0.0582  Adv: 1.1634
Epoch [3/100] Step [0]  lossD: 0.2064  lossG: 5.9295  L1: 0.0738  Adv: 2.2416
Epoch [3/100] Step [20]  lossD: 0.2864  lossG: 6.0980  L1: 0.0873  Adv: 1.7316
Epoch [3/100] Step [40]  lossD: 0.2306  lossG: 8.4838  L1: 0.0842  Adv: 4.2748
Epoch [3/100] Step [60]  lossD: 0.2733  lossG: 6.9316  L1: 0.0707  Adv: 3.3988
Epoch [3/100] Step [80]  lossD: 0.3612  lossG: 5.9915  L1: 0.0693  Adv: 2.5246
Epoch [3/100] Step [100]  lossD: 0.3507  lossG: 4.6948  L1: 0.0630  Adv: 1.5430
Epoch [3/100] Step [120]  lossD: 0.3744  lossG: 6.2271  L1: 0.0786  Adv: 2.2978
Epoch [3/100] Step [140]  lossD: 0.4298  lossG: 4.0945  L1: 0.0525  Adv: 1.4700
Epoch [3/100] Step [160]  lossD: 0.6012  lossG: 3.2700  L1: 0.0549  Adv: 0.5248
Epoch [3/100] Step [180]  lossD: 0.5557  lossG: 3.4099  L1: 0.0532  Adv: 0.7499
Epoch [4/100] Step [0]  lossD: 1.2370  lossG: 3.3631  L1: 0.0400  Adv: 1.3652
Epoch [4/100] Step [20]  lossD: 0.9318  lossG: 3.4856  L1: 0.0511  Adv: 0.9318
Epoch [4/100] Step [40]  lossD: 0.6217  lossG: 3.6147  L1: 0.0522  Adv: 1.0069
Epoch [4/100] Step [60]  lossD: 0.9062  lossG: 3.2657  L1: 0.0482  Adv: 0.8536
Epoch [4/100] Step [80]  lossD: 0.4120  lossG: 3.4947  L1: 0.0502  Adv: 0.9864
Epoch [4/100] Step [100]  lossD: 0.7173  lossG: 2.7997  L1: 0.0458  Adv: 0.5085
Epoch [4/100] Step [120]  lossD: 0.6859  lossG: 3.9953  L1: 0.0523  Adv: 1.3779
Epoch [4/100] Step [140]  lossD: 0.6400  lossG: 3.8963  L1: 0.0502  Adv: 1.3848
Epoch [4/100] Step [160]  lossD: 0.8910  lossG: 2.7662  L1: 0.0413  Adv: 0.7015
Epoch [4/100] Step [180]  lossD: 0.7047  lossG: 3.3042  L1: 0.0454  Adv: 1.0361
Epoch [5/100] Step [0]  lossD: 0.6052  lossG: 3.3630  L1: 0.0507  Adv: 0.8266
Epoch [5/100] Step [20]  lossD: 0.6262  lossG: 3.5466  L1: 0.0480  Adv: 1.1449
Epoch [5/100] Step [40]  lossD: 0.6317  lossG: 3.2718  L1: 0.0460  Adv: 0.9727
Epoch [5/100] Step [60]  lossD: 0.7614  lossG: 3.9916  L1: 0.0474  Adv: 1.6232
Epoch [5/100] Step [80]  lossD: 0.5061  lossG: 3.1029  L1: 0.0406  Adv: 1.0706
Epoch [5/100] Step [100]  lossD: 0.5472  lossG: 2.9455  L1: 0.0425  Adv: 0.8199
Epoch [5/100] Step [120]  lossD: 0.6553  lossG: 3.1327  L1: 0.0434  Adv: 0.9622
Epoch [5/100] Step [140]  lossD: 0.6211  lossG: 3.1307  L1: 0.0480  Adv: 0.7297
Epoch [5/100] Step [160]  lossD: 0.6062  lossG: 2.8564  L1: 0.0432  Adv: 0.6967
Epoch [5/100] Step [180]  lossD: 0.5727  lossG: 3.6080  L1: 0.0499  Adv: 1.1126
Epoch [6/100] Step [0]  lossD: 0.6223  lossG: 2.8566  L1: 0.0434  Adv: 0.6879
Epoch [6/100] Step [20]  lossD: 0.6704  lossG: 3.1360  L1: 0.0460  Adv: 0.8375
Epoch [6/100] Step [40]  lossD: 0.7108  lossG: 3.1973  L1: 0.0467  Adv: 0.8605
Epoch [6/100] Step [60]  lossD: 0.6926  lossG: 2.8478  L1: 0.0382  Adv: 0.9375
Epoch [6/100] Step [80]  lossD: 0.5914  lossG: 3.1270  L1: 0.0450  Adv: 0.8787
Epoch [6/100] Step [100]  lossD: 0.7049  lossG: 2.5693  L1: 0.0378  Adv: 0.6792
Epoch [6/100] Step [120]  lossD: 0.5614  lossG: 2.6564  L1: 0.0360  Adv: 0.8571
Epoch [6/100] Step [140]  lossD: 0.6600  lossG: 2.8307  L1: 0.0398  Adv: 0.8395
Epoch [6/100] Step [160]  lossD: 0.7369  lossG: 2.4333  L1: 0.0381  Adv: 0.5307
Epoch [6/100] Step [180]  lossD: 0.6941  lossG: 3.5030  L1: 0.0468  Adv: 1.1646
Epoch [7/100] Step [0]  lossD: 0.5830  lossG: 3.0521  L1: 0.0400  Adv: 1.0504
Epoch [7/100] Step [20]  lossD: 0.6386  lossG: 2.5220  L1: 0.0326  Adv: 0.8895
Epoch [7/100] Step [40]  lossD: 0.6857  lossG: 3.0205  L1: 0.0442  Adv: 0.8120
Epoch [7/100] Step [60]  lossD: 0.6211  lossG: 3.5303  L1: 0.0465  Adv: 1.2029
Epoch [7/100] Step [80]  lossD: 0.7121  lossG: 2.5977  L1: 0.0391  Adv: 0.6418
Epoch [7/100] Step [100]  lossD: 0.6328  lossG: 3.5821  L1: 0.0497  Adv: 1.0974
Epoch [7/100] Step [120]  lossD: 0.6584  lossG: 2.6515  L1: 0.0397  Adv: 0.6654
Epoch [7/100] Step [140]  lossD: 0.6988  lossG: 2.8145  L1: 0.0427  Adv: 0.6771
Epoch [7/100] Step [160]  lossD: 0.6519  lossG: 3.1188  L1: 0.0468  Adv: 0.7782
Epoch [7/100] Step [180]  lossD: 0.7640  lossG: 2.7324  L1: 0.0399  Adv: 0.7365
Epoch [8/100] Step [0]  lossD: 0.6537  lossG: 2.9016  L1: 0.0374  Adv: 1.0292
Epoch [8/100] Step [20]  lossD: 0.6458  lossG: 3.0395  L1: 0.0431  Adv: 0.8821
Epoch [8/100] Step [40]  lossD: 0.6761  lossG: 3.2934  L1: 0.0468  Adv: 0.9536
Epoch [8/100] Step [60]  lossD: 0.6664  lossG: 3.1250  L1: 0.0409  Adv: 1.0786
Epoch [8/100] Step [80]  lossD: 0.7185  lossG: 2.7984  L1: 0.0418  Adv: 0.7083
Epoch [8/100] Step [100]  lossD: 0.7979  lossG: 2.5408  L1: 0.0357  Adv: 0.7581
Epoch [8/100] Step [120]  lossD: 0.6487  lossG: 2.8436  L1: 0.0414  Adv: 0.7726
Epoch [8/100] Step [140]  lossD: 0.6009  lossG: 2.8989  L1: 0.0407  Adv: 0.8648
Epoch [8/100] Step [160]  lossD: 0.6295  lossG: 2.8180  L1: 0.0386  Adv: 0.8899
Epoch [8/100] Step [180]  lossD: 0.7016  lossG: 3.1315  L1: 0.0472  Adv: 0.7716
Epoch [9/100] Step [0]  lossD: 0.6370  lossG: 3.1288  L1: 0.0419  Adv: 1.0328
Epoch [9/100] Step [20]  lossD: 0.5904  lossG: 3.6025  L1: 0.0513  Adv: 1.0391
Epoch [9/100] Step [40]  lossD: 0.6940  lossG: 3.2238  L1: 0.0482  Adv: 0.8143
Epoch [9/100] Step [60]  lossD: 0.6132  lossG: 3.1613  L1: 0.0448  Adv: 0.9214
Epoch [9/100] Step [80]  lossD: 0.6791  lossG: 2.5943  L1: 0.0370  Adv: 0.7465
Epoch [9/100] Step [100]  lossD: 0.6639  lossG: 2.7847  L1: 0.0408  Adv: 0.7445
